timestamp,data
2025-11-08T11:42:32.708695,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:33.692753,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:34.720876,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:35.713932,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:36.727630,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:37.703227,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:38.750104,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:39.711408,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:40.771952,"b'{""advanced"":{""rppg"":[],""rppg_timestamps"":[]}}'"
2025-11-08T11:42:42.977240,"b'{""advanced"":{""rppg"":[-0.21824229844014462,-0.5454415449271547,-0.8082400855973589,-1.0389426601924616,-1.107516590094082,-1.0327855702274853,-0.7601450605597722,-0.3244005932778757,0.2559875923301589,0.8741305276841641,1.4448672718393971,1.7993153751731332,1.8811683134561397,1.607808287934283,1.109208617530857,0.42674878625761414,-0.17118675287467916,-0.6831718095352289,-0.9302569217565865,-1.0488386409831443,-0.9979328888693534,-0.9803081655628979,-0.9743975256005682,-1.0719323521596285,-1.1294493042883007,-1.1122512286887354,-0.8983240371060606,-0.4716752917318381,0.14648799666190668,0.8355572156119979,1.4870734415675475,1.9172554506823667,2.0659535839655727,1.9000360023011669,1.497094482011082,0.9629929883211759,0.4331308191114188,-0.04923219820779459,-0.3926044059220883,-0.655435277907525,-0.770602647243893,-0.899623447468789,-0.9305506955833639,-1.0308719090200662,-1.056313127092855,-1.1502978304069886,-1.1585215782381375,-1.2108800636819876,-1.1118243355927702,-0.9332470580902662,-0.5686670481292264,-0.08333797058615566,0.5073824102723143,1.093501175924468,1.5822310660532957,1.8797222253843897,1.8989702573511802,1.6662110770702176,1.2320139364641434,0.6985090937120286,0.18955507844145023,-0.2515569874069723,-0.5318023061103068,-0.7204815751687497,-0.7780988545900825,-0.8760925636349335,-0.9391773938595477,-1.047042402478684,-1.040618511721491,-0.9340304292913467,-0.5731125025796091,-0.060638345208438034,0.6089313100986704,1.1957466726020536,1.6327463434440603,1.721882210679395,1.522617929866599,1.0336400873347311,0.46986882178923023,-0.1045359086649063,-0.490727674783094,-0.7509927558932961,-0.8111177555520469,-0.8402785232097362,-0.8097170309400172,-0.8846945850066857,-0.9732311708920237,-1.1557147278254427,-1.2631264316084914,-1.3149927925963205,-1.1614485362076872,-0.8169053248829614,-0.23887020214143748,0.4599262136280023,1.1606588840025478,1.6936378607958433,1.9536171081995564,1.8875442176382116,1.5499533291825653,1.069511058986818,0.5998172640067628,0.22281919169219175,-0.0331627551092365,-0.24639826195552592,-0.45748787111649586,-0.7739641154132714,-1.0855188451280438,-1.3136532623871815,-1.2546293329292613,-0.8680732049912315,-0.16158591494460622,0.6614175899145927,1.3927710850946073,1.757582382277065,1.700441499859061,1.212214796624609,0.5295219136102469,-0.18036532169407746,-0.6654277422890791,-0.9105997347835858,-0.8925642013177486,-0.7781646039157291,-0.6160548851413692,-0.5570949346515036,-0.5455779114688105,-0.6494271317534375,-0.7792226880420403,-0.9489491723037322,-1.0628851278088578,-1.1143019669058063,-0.9988433396102004,-0.6783240733988731,-0.13658886308165258,0.5540234015769049,1.2447324665438384,1.7634455504634017,2.0083067205202907,1.9131084182532636,1.5877950339901725,1.1071900388626124,0.6763884170180727,0.3069434231931951,0.06584359708591844,-0.18803329970956364,-0.4548465792466411,-0.8175946261124524,-1.128720813384805,-1.3226416837075294,-1.2370051964871842,-0.8846445404089184,-0.3411446825288974,0.24504611806774163,0.6793585759654163,0.8847790703591593,0.8311782101944251,0.6334650617160832,0.3987931207705406,0.2384991184116181,0.18256537680400034,0.14465229193940993,0.11159909545850283,-0.046042768587869425,-0.24279342634357903,-0.5536900316911819,-0.828741181844214,-1.0956410687474654,-1.2366267769719415,-1.2793718583032458,-1.1701945694240745,-0.916017648176851,-0.5031593142985333,0.04074584957651276,0.6151540190345596,1.1427998328162448,1.509169234770408,1.6386219500126116,1.5412444743942313,1.2428258911879353,0.8576307716734483,0.43067403977781293,0.11108552821942148,-0.1877556319823149,-0.35811121837396853,-0.5673824807052532,-0.7546166699255022,-0.9938270962697089,-1.198286658662878,-1.3462232876023392,-1.3028650546990501,-1.007358479494792,-0.4910999462651861,0.2251892153879707,0.9374311558018344,1.5525086183624643,1.882408811762007,1.863732514486934,1.5571156895737734,1.0558072044939832,0.5236011774716275,0.03962157344065766,-0.25890851400066256,-0.5061888271315909,-0.6141403114430061,-0.7378306134339746,-0.8258553413595869,-0.9674357853312974,-1.0481970681708974,-1.107136656828615,-1.0845764741153106,-1.0149475652084599,-0.8821344399830912,-0.6704508912262183,-0.37398182401510666,0.04418383378371282,0.5003842341783165,0.981351496492145,1.3307751899054028,1.474247802491617,1.3716326600756708,1.0282648030891102,0.4994644302615685,-0.07756205016791268,-0.6109962477591652,-0.9330204655676794,-1.0787286930277502,-0.9290430352725406,-0.5955727990813524,-0.054880394567016384,0.5467439818293984,1.0984398552438903,1.4632252793272083,1.5136003852803726,1.285110720010011,0.8120210331952592,0.24097342498984584,-0.3180792013285413,-0.6361913098433801,-0.7799047748554132,-0.7527489837058379,-0.6796412788649911,-0.7159778168067011,-0.8831270620180434,-1.0950663764765207,-1.277563764947774,-1.2147431968600337,-0.907854433286582,-0.2866899172964615,0.34400968598787296,0.9449629503132517,1.1834943957757877,1.1619632648130866,0.8623921604007279,0.5687541693676108,0.33602165035992904,0.1551992396722406,0.23685402325443883],""rppg_timestamps"":[1762588770.90264,1762588770.9315987,1762588770.963116,1762588770.997998,1762588771.0282404,1762588771.0622869,1762588771.0913496,1762588771.1246576,1762588771.1566064,1762588771.187347,1762588771.2377095,1762588771.2691453,1762588771.3039868,1762588771.3338187,1762588771.3644168,1762588771.398269,1762588771.434249,1762588771.46449,1762588771.4914079,1762588771.5264297,1762588771.5644572,1762588771.5931036,1762588771.6399117,1762588771.670175,1762588771.7005732,1762588771.7346685,1762588771.767356,1762588771.8016338,1762588771.8263927,1762588771.8634486,1762588771.9021142,1762588771.9351108,1762588771.9572713,1762588771.9912329,1762588772.038424,1762588772.0739338,1762588772.1013205,1762588772.135404,1762588772.1640413,1762588772.1958058,1762588772.2310636,1762588772.261044,1762588772.2938673,1762588772.3240743,1762588772.3571663,1762588772.3873756,1762588772.4366584,1762588772.4730704,1762588772.50175,1762588772.532186,1762588772.5644963,1762588772.5957813,1762588772.6270878,1762588772.6602213,1762588772.692633,1762588772.7226045,1762588772.7564783,1762588772.7899165,1762588772.8403976,1762588772.8707495,1762588772.9044654,1762588772.9414706,1762588772.9777327,1762588773.0117092,1762588773.0467682,1762588773.0666077,1762588773.0921314,1762588773.1233194,1762588773.1593983,1762588773.1889217,1762588773.241533,1762588773.280087,1762588773.3010025,1762588773.338281,1762588773.3641682,1762588773.3965814,1762588773.4275753,1762588773.4619715,1762588773.4943135,1762588773.5238419,1762588773.5591292,1762588773.5905817,1762588773.6439276,1762588773.681734,1762588773.7199006,1762588773.7536397,1762588773.7854288,1762588773.8178852,1762588773.8511856,1762588773.8756974,1762588773.8981292,1762588773.9266908,1762588773.9606516,1762588773.9916425,1762588774.0385907,1762588774.067277,1762588774.1019647,1762588774.1312675,1762588774.1648953,1762588774.1970346,1762588774.2293985,1762588774.2606277,1762588774.2964444,1762588774.3234835,1762588774.359171,1762588774.3903813,1762588774.440824,1762588774.4765606,1762588774.5089245,1762588774.5360856,1762588774.5651476,1762588774.5954168,1762588774.6270504,1762588774.6605332,1762588774.6910753,1762588774.7280447,1762588774.755516,1762588774.7878363,1762588774.8389711,1762588774.8743105,1762588774.9027543,1762588774.9373672,1762588774.9735742,1762588775.0063887,1762588775.0283396,1762588775.0593345,1762588775.0946355,1762588775.1241255,1762588775.1546466,1762588775.2040334,1762588775.237148,1762588775.2701917,1762588775.3039641,1762588775.3383536,1762588775.3666534,1762588775.397786,1762588775.426307,1762588775.4593556,1762588775.4910958,1762588775.5232482,1762588775.555714,1762588775.6081016,1762588775.646821,1762588775.6747112,1762588775.7035043,1762588775.7346509,1762588775.7671533,1762588775.7982373,1762588775.8287451,1762588775.8662882,1762588775.893601,1762588775.9248064,1762588775.955623,1762588776.0060813,1762588776.0381105,1762588776.069422,1762588776.099564,1762588776.131056,1762588776.1650934,1762588776.1998212,1762588776.2306032,1762588776.2587214,1762588776.2932448,1762588776.323672,1762588776.3544636,1762588776.4040687,1762588776.4356644,1762588776.467811,1762588776.4991415,1762588776.5316153,1762588776.5638947,1762588776.5972397,1762588776.6286392,1762588776.658576,1762588776.6918688,1762588776.7235773,1762588776.7552078,1762588776.8075202,1762588776.8348913,1762588776.868654,1762588776.9010687,1762588776.9320915,1762588776.9666665,1762588776.9971497,1762588777.0264604,1762588777.0584521,1762588777.090952,1762588777.123014,1762588777.1563914,1762588777.2036989,1762588777.238615,1762588777.2726533,1762588777.3030064,1762588777.3321693,1762588777.3641944,1762588777.4026933,1762588777.439965,1762588777.4620883,1762588777.4901075,1762588777.52392,1762588777.5546262,1762588777.6058953,1762588777.6365504,1762588777.6675503,1762588777.6999803,1762588777.732653,1762588777.7664192,1762588777.7946475,1762588777.8297954,1762588777.8623827,1762588777.8960805,1762588777.9347196,1762588777.9573894,1762588778.0028913,1762588778.0351198,1762588778.0690205,1762588778.1002035,1762588778.1338124,1762588778.1697178,1762588778.2065783,1762588778.2305465,1762588778.264576,1762588778.2994618,1762588778.327303,1762588778.358088,1762588778.4022307,1762588778.4365423,1762588778.467484,1762588778.5000823,1762588778.5318263,1762588778.5647578,1762588778.5982203,1762588778.626619,1762588778.6622772,1762588778.6965923,1762588778.7232206,1762588778.7569804,1762588778.8082726,1762588778.8356683,1762588778.8693395,1762588778.8986702,1762588778.9316146,1762588778.962926,1762588778.9996333,1762588779.0279727,1762588779.0593858,1762588779.09098,1762588779.1228023,1762588779.1574678,1762588779.2050931,1762588779.23649,1762588779.2686536,1762588779.3003576,1762588779.3338938,1762588779.365226,1762588779.3972006]}}'"
